tier,p1,p2,score,date,link,team1,team2,turns,winner
gen9randombattle,Ineros,Animemer,3 - 0,Tue Jul 29 2025 04:15:50 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9randombattle/1_Ineros_vs_Animemer.html,Magcargo/Zarude-Dada/Vikavolt/Dragalge/Meganium/Duraludon,Baxcalibur/Glalie/Swampert/Wugtrio/Zamazenta/Weezing,20,Ineros
gen9randombattle,dewfew,Animemer,6 - 6,Wed Jul 30 2025 02:05:06 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9randombattle/39_dewfew_vs_Animemer.html,Sceptile/Poliwrath/Tinkaton/Perrserker/Walking Wake/Maushold,Haxorus/Seviper/Jolteon/Mabosstiff/Crabominable/Bellibolt,10,dewfew
gen9randombattle,dewfew,Animemer,0 - 2,Wed Jul 30 2025 02:01:47 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9randombattle/38_dewfew_vs_Animemer.html,Oricorio/Zacian/Bastiodon/Oranguru/Flamigo/Wo-Chien,Scovillain/Hatterene/Iron Crown/Beartic/Smeargle/Iron Thorns,28,Animemer
gen9nationaldex,dewfew,Animemer,3 - 0,Tue Jul 29 2025 22:53:09 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9nationaldex/20_dewfew_vs_Animemer.html,Witheroot/Hessifeng/Kazehiro/Cormatose/Toxapex/Bakurana,Cormatose/Sinester/Garchomp/Quaquaval-Tanoso/Liliamp/Volcarona,25,dewfew
gen9nationaldex,BalamCorpOfficial,dewfew,2 - 4,Tue Jul 29 2025 19:54:10 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9nationaldex/14_BalamCorpOfficial_vs_dewfew.html,Witheroot/Chansey/Gliscor/Bakurana/Gholdengo/Toxapex,Arsenatch/Liliamp/Cormatose/Tapu Lele/Ferrothorn/Zapdos,45,dewfew
gen9nationaldex,Animemer,retereereeeree,5 - 6,Tue Jul 29 2025 14:18:17 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9nationaldex/12_Animemer_vs_retereereeeree.html,Delphox/Infestalk/Alomomola/Bakurana/Gallade-Tanoso/Quaquaval-Tanoso,Saruglace/Garchomp/Quaquaval-Tanoso/Erinyoxic/Terapagos/Brevicectric,32,Animemer
gen9nationaldex,dewfew,BalamCorpOfficial,6 - 6,Tue Jul 29 2025 19:43:28 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9nationaldex/13_dewfew_vs_BalamCorpOfficial.html,Arsenatch/Liliamp/Cormatose/Tapu Lele/Ferrothorn/Zapdos,Witheroot/Chansey/Gliscor/Bakurana/Gholdengo/Toxapex,4,BalamCorpOfficial
gen9nationaldex,spookycooke,BalamCorpOfficial,5 - 3,Tue Jul 29 2025 20:01:37 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9nationaldex/15_spookycooke_vs_BalamCorpOfficial.html,Spirition/Serposa/Magnezone/Landorus-Therian/Coolduck/Fleaclipse,Witheroot/Chansey/Gliscor/Bakurana/Gholdengo/Toxapex,21,spookycooke
gen9nationaldex,dewfew,spookycooke,4 - 5,Tue Jul 29 2025 20:08:42 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9nationaldex/16_dewfew_vs_spookycooke.html,Serposa/Quaquaval-Tanoso/Brevicectric/Cormatose/Infestalk/Tyranitar,Spirition/Serposa/Magnezone/Landorus-Therian/Coolduck/Fleaclipse,31,spookycooke
gen9nationaldex,spookycooke,Animemer,1 - 0,Tue Jul 29 2025 23:21:22 GMT+0000 (Coordinated Universal Time),https://play.tanoso.online/replays/gen9nationaldex/23_spookycooke_vs_Animemer.html,Froslass/Spirition/Gholdengo/Mime Sr./Ceruledge/Mimikyu,Scaldra/Infestalk/Obsidislug/Ting-Lu/Gholdengo/Cormatose,26,spookycooke
